"State","rep00","dem00"
"AK",167398,79004
"AL",941173,692611
"AR",472940,422768
"AZ",781652,685341
"CA",4567429,5861203
"CO",883748,738227
"CT",561094,816015
"DC",18073,171923
"DE",137288,180068
"FL",2912790,2912253
"GA",1419720,1116230
"HI",137845,205286
"IA",634373,638517
"ID",336937,138637
"IL",2019421,2589026
"IN",1245836,901980
"KS",622332,399276
"KY",872492,638898
"LA",927871,792344
"MA",878502,1616487
"MD",813797,1145782
"ME",286616,319951
"MI",1953139,2170418
"MN",1109659,1168266
"MO",1189924,1111138
"MS",572844,404614
"MT",240178,137126
"NC",1631163,1257692
"ND",174852,95284
"NE",433862,231780
"NH",273559,266348
"NJ",1284173,1788850
"NM",286417,286783
"NV",301575,279978
"NY",2403374,4107697
"OH",2351209,2186190
"OK",744337,474276
"OR",713577,720342
"PA",2281127,2485967
"RI",130555,249508
"SC",785937,565561
"SD",190700,118804
"TN",1061949,981720
"TX",3799639,2433746
"UT",515096,203053
"VA",1437490,1217290
"VT",119775,149022
"WA",1108864,1247652
"WI",1237279,1242987
"WV",336475,295497
"WY",147947,60481
